"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"02","1","Y34","","17_80 y más","5"
"26","1","K74","","10_45 a 49","1"
"06","1","V48","","07_30 a 34","4"
"14","1","V43","","17_80 y más","1"
"50","2","I70","","12_55 a 59","1"
"82","1","Q40","","02_1 a 9","1"
"26","1","N17","","17_80 y más","1"
"50","1","X73","","07_30 a 34","1"
"06","1","R10","","09_40 a 44","2"
"22","2","I63","","17_80 y más","4"
"30","2","C80","","07_30 a 34","1"
"74","1","I11","","16_75 a 79","4"
"58","1","I25","","14_65 a 69","5"
"06","1","C41","","11_50 a 54","6"
"22","1","C73","","13_60 a 64","1"
"38","1","G93","","11_50 a 54","1"
"22","2","C25","","12_55 a 59","5"
"62","1","K70","","12_55 a 59","2"
"82","2","I11","","12_55 a 59","1"
"38","2","O72","M","06_25 a 29","1"
