anio,categoria,edad_bracket,muertes
2021,Y20-Y25/Y28-Y30,80+,31
2022,Y20-Y25/Y28-Y30,0-19,89
2022,Y20-Y25/Y28-Y30,20-39,175
2022,Y20-Y25/Y28-Y30,40-49,53
2022,Y20-Y25/Y28-Y30,50-59,52
2022,Y20-Y25/Y28-Y30,60-69,38
2022,Y20-Y25/Y28-Y30,70-79,25
2022,Y20-Y25/Y28-Y30,80+,22
2023,Y20-Y25/Y28-Y30,0-19,57
2023,Y20-Y25/Y28-Y30,20-39,207
2023,Y20-Y25/Y28-Y30,40-49,66
2023,Y20-Y25/Y28-Y30,50-59,37
2023,Y20-Y25/Y28-Y30,60-69,34
2023,Y20-Y25/Y28-Y30,70-79,30
2023,Y20-Y25/Y28-Y30,80+,19
2024,Y20-Y25/Y28-Y30,0-19,56
2024,Y20-Y25/Y28-Y30,20-39,180
2024,Y20-Y25/Y28-Y30,40-49,71
2024,Y20-Y25/Y28-Y30,50-59,41
2024,Y20-Y25/Y28-Y30,60-69,27
2024,Y20-Y25/Y28-Y30,70-79,24
2024,Y20-Y25/Y28-Y30,80+,15
