age,anio_def,cause,excess_total,attributable,se_attrib,lower95,upper95
01.menor a 20 anios,2020,diabetes,9.952908342126104,7.322919201849529,1.9019532621980249,3.5950908079414003,11.050747595757658
01.menor a 20 anios,2020,alzheimer,-0.16732071747047078,-0.05826970658429754,0.039403663176380534,-0.13550088641000338,0.01896147324140831
01.menor a 20 anios,2020,metabolic,-8.975378646062214,1.848163333335844,2.0929402467754645,-2.2539995503440666,5.950326217015754
01.menor a 20 anios,2020,anemia,-9.77523910009815,2.2575875043092397,1.4267482828113662,-0.5388391300010382,5.054014138619518
01.menor a 20 anios,2021,resp,-245.55515469179915,-189.48669112722732,23.241512374294818,-235.04005538084516,-143.93332687360947
01.menor a 20 anios,2021,circ,41.78346550492087,3.142676776407724,8.465771682937719,-13.450235722150206,19.735589274965655
01.menor a 20 anios,2021,diabetes,7.737211122834625,2.54471119484339,1.4809700400620767,-0.35799008367828034,5.44741247336506
01.menor a 20 anios,2021,alzheimer,-0.15642762329396354,-0.17503571334638313,0.08919056281788627,-0.3498492164694402,-2.222102233260248e-4
01.menor a 20 anios,2021,metabolic,-0.8338381947507925,-18.53968159593403,3.3113414501087446,-25.02991083814717,-12.049452353720891
01.menor a 20 anios,2021,anemia,1.0330145332020537,-2.2756515024835067,2.232455819226771,-6.6512649081679776,2.0999619032009647
01.menor a 20 anios,2022,resp,66.90605663525588,-12.226019107126222,15.355610579374478,-42.323015842700194,17.870977628447754
01.menor a 20 anios,2022,circ,92.97933188115263,-13.645525383949737,5.239307663101164,-23.914568403628017,-3.376482364271455
01.menor a 20 anios,2022,diabetes,9.521513903543362,5.796925753936211,0.713451247268026,4.39856130929088,7.195290198581542
01.menor a 20 anios,2022,alzheimer,-0.14553452911745332,0.0200529196065492,0.018765762992814315,-0.016727975859366858,0.05683381507246525
01.menor a 20 anios,2022,metabolic,0.30770225656203376,2.1961744492739186,1.515063051679434,-0.7733491320177719,5.1656980305656095
01.menor a 20 anios,2022,anemia,-0.15873183349724918,2.646069419063045,0.8896125583465799,0.9024288047037483,4.389710033422341
01.menor a 20 anios,2023,resp,-19.63273203770226,33.4559058710624,9.599438500554934,14.641006409974729,52.27080533215007
01.menor a 20 anios,2023,circ,95.17519825738017,-9.208121952326753,5.010292924763137,-19.0282960848625,0.6120521802089947
01.menor a 20 anios,2023,diabetes,1.3058166842518797,0.1872522687443392,1.0130133601108668,-1.7982539170729597,2.172758454561638
01.menor a 20 anios,2023,alzheimer,-0.13464143494094613,0.02198104239742096,0.020801257738674486,-0.018789422770381033,0.06275150756522295
01.menor a 20 anios,2023,metabolic,-5.550757292126569,-2.4675930152204,4.0759417068358355,-10.456438760618639,5.521252730177838
01.menor a 20 anios,2023,anemia,-7.350478200197055,-6.460379480049648,1.9489337793459507,-10.280289687567711,-2.6404692725315844
01.menor a 20 anios,2024,resp,-20.171520710660104,NA,9.26025136273187,NA,NA
01.menor a 20 anios,2024,circ,76.3710646336078,NA,4.8925135106474045,NA,NA
01.menor a 20 anios,2024,diabetes,4.090119464960402,NA,1.3733935053890802,NA,NA
01.menor a 20 anios,2024,alzheimer,-0.12374834076443886,NA,0.04393433202568114,NA,NA
01.menor a 20 anios,2024,metabolic,3.5907831591848582,NA,3.470420656426956,NA,NA
01.menor a 20 anios,2024,anemia,7.457775433103151,NA,1.6463031084095388,NA,NA
02.de 20 a 39 anios,2015,resp,-161.40573849975644,0,0,0,0
02.de 20 a 39 anios,2015,circ,-123.63087897344904,-0,0,-0,0
