PROVRES,SEXO,CAUSA,MAT,GRUPEDAD,CUENTA
02,1,V89, ,12_55 a 59,1
02,2,J43,,17_80 y más,12
86,1,C60,,06_25 a 29,1
90,1,R96,,15_70 a 74,3
38,1,K92,,10_45 a 49,2
42,1,I51,,15_70 a 74,2
02,2,Y26,,17_80 y más,4
02,2,I11, ,16_75 a 79,2
06,1,X59,,11_50 a 54,6
06,2,C16,,13_60 a 64,3
90,1,C67,,14_65 a 69,6
18,2,C85,,15_70 a 74,1
18,1,Q39,,01_Menor de 1 año,3
30,2,K65,,14_65 a 69,4
86,1,J98,,13_60 a 64,2
58,2,C23,,17_80 y más,2
06,2,Y26,,16_75 a 79,2
06,1,R96,,13_60 a 64,3
82,2,J43,,17_80 y más,5
30,1,G93,,08_35 a 39,1
66,2,X70,,14_65 a 69,1
34,1,J96,,11_50 a 54,1
90,1,I45,,15_70 a 74,1
58,1,X99,,07_30 a 34,2
06,1,R57, ,08_35 a 39,1
26,1,I42,,17_80 y más,14
82,2,I49,,15_70 a 74,14
82,1,I34,,16_75 a 79,3
58,2,C44,,15_70 a 74,1
06,2,J69, ,14_65 a 69,24
06,2,I27, ,15_70 a 74,1
06,1,D32, ,15_70 a 74,5
66,1,C92,,08_35 a 39,1
38,2,Y83,,07_30 a 34,1
58,2,N18,,17_80 y más,17
90,1,J40,,17_80 y más,1
58,1,A41,,12_55 a 59,2
54,1,J96,,09_40 a 44,1
82,1,R99,,99_Sin especificar,2
62,2,K75,,16_75 a 79,1
74,1,W86,,05_20 a 24,1
50,1,E10,,14_65 a 69,3
18,1,K92,,16_75 a 79,11
06,1,N45, ,12_55 a 59,1
82,1,G00,,10_45 a 49,2
42,1,C95,,15_70 a 74,1
58,1,W19,,17_80 y más,1
30,1,G31,,08_35 a 39,1
58,2,C80,,14_65 a 69,4
02,2,C43, ,17_80 y más,1
22,1,I67,,16_75 a 79,8
90,2,I26,,09_40 a 44,1
14,1,K92, ,12_55 a 59,11
06,1,X94, ,07_30 a 34,1
90,2,Q03,,04_15 a 19,1
30,1,V22,,04_15 a 19,1
46,1,R58,,12_55 a 59,1
46,2,C23,,15_70 a 74,1
50,2,C73,,15_70 a 74,2
50,1,X99,,12_55 a 59,2
38,2,J40,,16_75 a 79,1
66,1,Y09,,04_15 a 19,1
42,1,I60,,16_75 a 79,1
94,1,K70,,11_50 a 54,1
70,1,X70,,10_45 a 49,2
58,2,P07,,01_Menor de 1 año,2
82,1,I25,,09_40 a 44,3
82,2,K81,,15_70 a 74,1
50,2,C26,,17_80 y más,3
18,1,C90,,17_80 y más,1
66,2,A09,,15_70 a 74,4
26,1,C07,,15_70 a 74,1
02,2,E88,,01_Menor de 1 año,1
94,2,C20,,11_50 a 54,2
26,2,K92,,13_60 a 64,3
82,2,C14,,15_70 a 74,1
99,1,E86,,08_35 a 39,1
70,1,I61,,10_45 a 49,1
06,2,D61, ,04_15 a 19,2
86,1,P96,,01_Menor de 1 año,3
94,1,J18,,01_Menor de 1 año,1
14,1,I48, ,15_70 a 74,3
06,2,I71,,07_30 a 34,1
42,2,C95,,15_70 a 74,1
14,1,R99,,12_55 a 59,2
62,1,J44,,16_75 a 79,10
14,1,R02, ,13_60 a 64,1
50,1,C75,,14_65 a 69,1
06,1,I25,,14_65 a 69,11
02,1,I50,,09_40 a 44,12
50,1,W13,,08_35 a 39,1
06,1,X59, ,11_50 a 54,36
14,2,C34, ,11_50 a 54,9
06,1,I82, ,11_50 a 54,1
82,1,I72,,12_55 a 59,1
66,1,N39,,16_75 a 79,2
42,1,I67,,14_65 a 69,1
18,2,K65,,17_80 y más,5
54,2,V28,,04_15 a 19,1
14,2,E11, ,13_60 a 64,7
02,2,K83,,14_65 a 69,3
02,1,C49,,09_40 a 44,1
26,2,N19,,16_75 a 79,3
18,2,C54,,15_70 a 74,3
78,2,A41,,14_65 a 69,3
06,2,D47, ,16_75 a 79,6
82,1,J15,,17_80 y más,96
82,1,C32,,12_55 a 59,7
06,1,G03,,11_50 a 54,1
66,1,C20,,13_60 a 64,3
