"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"42","1","I50","","11_50 a 54","1"
"34","1","C15","","14_65 a 69","1"
"82","1","J98","","08_35 a 39","1"
"86","1","E87","","12_55 a 59","1"
"06","1","K25","","14_65 a 69","2"
"14","1","G80","","05_20 a 24","3"
"06","1","R55","","14_65 a 69","6"
"14","2","Y24","","05_20 a 24","5"
"50","2","C44","","15_70 a 74","2"
"82","1","C43","","17_80 y más","8"
"98","2","I50","","17_80 y más","3"
"90","2","I61","","14_65 a 69","5"
"02","1","I25","","10_45 a 49","14"
"70","2","J18","","14_65 a 69","14"
"54","1","V03","","13_60 a 64","2"
"78","2","C81","","06_25 a 29","1"
"02","2","Y20","","05_20 a 24","2"
"02","1","C02","","15_70 a 74","2"
"06","1","E05","","13_60 a 64","1"
"50","1","K70","","07_30 a 34","1"
"66","2","V49","","10_45 a 49","1"
"02","1","B16","","15_70 a 74","1"
"62","2","K35","","17_80 y más","1"
"38","2","C56","","12_55 a 59","1"
"70","2","P28","","01_Menor de 1 año","2"
"06","1","A19","","02_1 a 9","1"
"82","1","Y33","","11_50 a 54","1"
"06","1","C23","","17_80 y más","9"
"90","2","I42","","08_35 a 39","1"
"70","2","I61","","15_70 a 74","2"
"06","1","E86","","16_75 a 79","29"
"46","1","W87","","02_1 a 9","1"
"38","2","W20","","03_10 a 14","1"
"18","2","W87","","03_10 a 14","1"
"14","1","X95","","08_35 a 39","4"
"14","1","C04","","12_55 a 59","1"
"94","2","I60","","12_55 a 59","1"
"82","1","K73","","10_45 a 49","1"
"86","1","C68","","08_35 a 39","1"
"22","1","G93","","17_80 y más","1"
"06","1","X70","","03_10 a 14","13"
"30","1","C71","","07_30 a 34","1"
"06","1","V24","","08_35 a 39","1"
"66","2","B37","","01_Menor de 1 año","1"
"78","2","I64","","12_55 a 59","1"
"74","2","Y24","","05_20 a 24","1"
"70","1","I67","","13_60 a 64","3"
"06","1","G93","","08_35 a 39","4"
"22","2","I42","","16_75 a 79","3"
"58","2","I26","","09_40 a 44","1"
"46","1","R98","","17_80 y más","14"
"30","1","E10","","12_55 a 59","2"
"78","1","K65","","13_60 a 64","1"
"02","1","C85","","05_20 a 24","1"
"82","2","C22","","14_65 a 69","13"
"90","2","C24","","13_60 a 64","2"
"06","1","Y26","","16_75 a 79","4"
"02","1","I71","","14_65 a 69","26"
"22","2","I51","","11_50 a 54","1"
"62","2","C53","","12_55 a 59","3"
"50","2","V48","","10_45 a 49","2"
"22","1","K85","","12_55 a 59","2"
"34","1","B02","","17_80 y más","1"
"50","1","I99","","16_75 a 79","2"
"66","1","A09","","15_70 a 74","2"
"06","1","J09","","11_50 a 54","1"
"66","1","C17","","13_60 a 64","2"
"46","2","I10","","15_70 a 74","1"
"62","2","A41","","10_45 a 49","1"
"26","1","A41","","11_50 a 54","2"
"30","1","C18","","10_45 a 49","1"
"50","2","D47","","17_80 y más","3"
"50","1","C07","","12_55 a 59","1"
"06","2","R57","","04_15 a 19","1"
"86","1","C71","","14_65 a 69","1"
"66","1","G61","","16_75 a 79","1"
"54","1","L03","","13_60 a 64","1"
"54","2","W87","","06_25 a 29","1"
"02","2","M06","","11_50 a 54","2"
"54","1","X59","","04_15 a 19","8"
"30","1","X74","","06_25 a 29","4"
"10","1","J18","","10_45 a 49","2"
"06","2","K43","","10_45 a 49","2"
"06","2","C81","","09_40 a 44","2"
"99","1","Q77","","01_Menor de 1 año","1"
"26","2","N18","","16_75 a 79","2"
"22","2","A19","","04_15 a 19","1"
"02","2","C44","","17_80 y más","13"
"06","1","C32","","15_70 a 74","58"
