"term","estimate","std.error","statistic","p.value","age","cause","anio_def","coef","se"
"factor(month)8",-0.00958368020093872,0.01521245266828,-0.629989154932392,0.53023010594025,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(month)9",-0.0107562817340405,0.0142565687997362,-0.754478997375548,0.45244767466573,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(month)10",-0.00810584486398617,0.0151377678154181,-0.535471607361437,0.593588428871412,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(month)11",-0.0076025173441604,0.01425361881926,-0.533374537411343,0.595033250265174,"01.menor a 20 anios","alzheimer",NA,NA,NA
"factor(month)12",-0.00445458382479708,0.0143563406287093,-0.310286857912034,0.757029734411417,"01.menor a 20 anios","alzheimer",NA,NA,NA
"covid:factor(anio_def)2020",-0.00636414331286435,0.00850845651213879,-0.747978590921255,0.456340330019473,"01.menor a 20 anios","alzheimer",NA,NA,NA
"covid:factor(anio_def)2021",-0.00673808031834235,0.00872921831894732,-0.771899621724081,0.442110156596521,"01.menor a 20 anios","alzheimer",NA,NA,NA
"covid:factor(anio_def)2022",-0.00579307754434243,0.00806661875649433,-0.718154374120941,0.4744432765787,"01.menor a 20 anios","alzheimer",NA,NA,NA
"covid:factor(anio_def)2023",-0.00453862501120928,0.00785444619499714,-0.577841505121028,0.564752793248013,"01.menor a 20 anios","alzheimer",NA,NA,NA
NA,NA,NA,NA,NA,"01.menor a 20 anios","alzheimer",2015,0.00591244016104808,0.00815840064309174
NA,NA,NA,NA,NA,"01.menor a 20 anios","alzheimer",2016,NA,0.00815840064309174
NA,NA,NA,NA,NA,"01.menor a 20 anios","alzheimer",2017,NA,0.00815840064309174
NA,NA,NA,NA,NA,"01.menor a 20 anios","alzheimer",2018,NA,0.00815840064309174
NA,NA,NA,NA,NA,"01.menor a 20 anios","alzheimer",2019,NA,0.00815840064309174
NA,NA,NA,NA,NA,"01.menor a 20 anios","alzheimer",2020,-0.000451703151816261,0.00075428388664222
NA,NA,NA,NA,NA,"01.menor a 20 anios","alzheimer",2021,-0.000825640157294267,0.00114103324810673
NA,NA,NA,NA,NA,"01.menor a 20 anios","alzheimer",2022,0.000119362616705654,0.000210439877972922
NA,NA,NA,NA,NA,"01.menor a 20 anios","alzheimer",2023,0.00137381514983881,0.00283069263710402
NA,NA,NA,NA,NA,"01.menor a 20 anios","alzheimer",2024,NA,0.00815840064309174
"(Intercept)",-0.987999656972935,1.21951464070424,-0.810158094045009,0.419895588698116,"01.menor a 20 anios","metabolic",NA,NA,NA
"covid",0.327923296136504,0.64444093741183,0.508849263135722,0.612050196476275,"01.menor a 20 anios","metabolic",NA,NA,NA
"factor(anio_def)2016",0.162766475464399,1.08534723570617,0.149967190323654,0.881111814585627,"01.menor a 20 anios","metabolic",NA,NA,NA
