"age","anio_def","variable","method","cor","p.value","n"
"02.de 20 a 39 anios",2024,"resp","spearman",0.111888111888112,0.732775446034506,12
"02.de 20 a 39 anios",2024,"circ","pearson",0.377139965160853,0.226848177462412,12
"02.de 20 a 39 anios",2024,"circ","spearman",0.213660572843196,0.50491268758604,12
"02.de 20 a 39 anios",2024,"diabetes","pearson",0.0483821854974218,0.881305300510742,12
"02.de 20 a 39 anios",2024,"diabetes","spearman",-0.0496503850794939,0.878214227944018,12
"02.de 20 a 39 anios",2024,"alzheimer","pearson",0.105781443651199,0.743523470511202,12
"02.de 20 a 39 anios",2024,"alzheimer","spearman",0.218356573370573,0.495366759516297,12
"02.de 20 a 39 anios",2024,"metabolic","pearson",0.00474290938289353,0.988328346518689,12
"02.de 20 a 39 anios",2024,"metabolic","spearman",-0.0213944874696201,0.947381622792988,12
"02.de 20 a 39 anios",2024,"anemia","pearson",0.055048555592751,0.865074819642193,12
"02.de 20 a 39 anios",2024,"anemia","spearman",0.047221241259332,0.884136286705117,12
"03.de 40 a 49 anios",2015,"covid","pearson",NA,NA,12
"03.de 40 a 49 anios",2015,"covid","spearman",NA,NA,12
"03.de 40 a 49 anios",2015,"resp","pearson",0.0221588088896608,0.945504241325181,12
"03.de 40 a 49 anios",2015,"resp","spearman",-0.0925413414007367,0.77484202046276,12
"03.de 40 a 49 anios",2015,"circ","pearson",-0.0709895835589846,0.826467638923539,12
"03.de 40 a 49 anios",2015,"circ","spearman",-0.094737425286038,0.769624675980411,12
"03.de 40 a 49 anios",2015,"diabetes","pearson",0.114206813963206,0.723774968553192,12
"03.de 40 a 49 anios",2015,"diabetes","spearman",0.125028708866952,0.698635713690499,12
"03.de 40 a 49 anios",2015,"alzheimer","pearson",-0.159971064934113,0.619448290705888,12
"03.de 40 a 49 anios",2015,"alzheimer","spearman",-0.305699202718803,0.33389313645066,12
"03.de 40 a 49 anios",2015,"metabolic","pearson",-0.134295503652241,0.677326638711729,12
"03.de 40 a 49 anios",2015,"metabolic","spearman",-0.169134794192616,0.599242534147852,12
"03.de 40 a 49 anios",2015,"anemia","pearson",0.0838358440315863,0.795606468744721,12
"03.de 40 a 49 anios",2015,"anemia","spearman",-0.0549019776707378,0.865431197697602,12
"03.de 40 a 49 anios",2016,"covid","pearson",NA,NA,12
"03.de 40 a 49 anios",2016,"covid","spearman",NA,NA,12
"03.de 40 a 49 anios",2016,"resp","pearson",0.752772266099484,0.00471932561438915,12
"03.de 40 a 49 anios",2016,"resp","spearman",0.62697118916282,0.0291128808659877,12
"03.de 40 a 49 anios",2016,"circ","pearson",0.675491739726377,0.0159174429496809,12
"03.de 40 a 49 anios",2016,"circ","spearman",0.472855366128384,0.120547316089846,12
"03.de 40 a 49 anios",2016,"diabetes","pearson",0.792172067452565,0.00212863375856452,12
"03.de 40 a 49 anios",2016,"diabetes","spearman",0.810651212588483,0.00138150134275109,12
"03.de 40 a 49 anios",2016,"alzheimer","pearson",-0.237448712587188,0.457412387130758,12
"03.de 40 a 49 anios",2016,"alzheimer","spearman",-0.25955427380922,0.415259700302115,12
"03.de 40 a 49 anios",2016,"metabolic","pearson",0.0374150245304953,0.908095607722098,12
"03.de 40 a 49 anios",2016,"metabolic","spearman",0.0684903389908951,0.832499325952737,12
"03.de 40 a 49 anios",2016,"anemia","pearson",0.211644848413643,0.509035014374888,12
"03.de 40 a 49 anios",2016,"anemia","spearman",0.233028802347425,0.466074407731907,12
"03.de 40 a 49 anios",2017,"covid","pearson",NA,NA,12
"03.de 40 a 49 anios",2017,"covid","spearman",NA,NA,12
"03.de 40 a 49 anios",2017,"resp","pearson",0.270560213165656,0.395021487572415,12
"03.de 40 a 49 anios",2017,"resp","spearman",0.333335385265689,0.289688459572044,12
"03.de 40 a 49 anios",2017,"circ","pearson",0.132692834674731,0.680996986318306,12
"03.de 40 a 49 anios",2017,"circ","spearman",-0.034965034965035,0.921184082791962,12
"03.de 40 a 49 anios",2017,"diabetes","pearson",0.449971530264173,0.142164733431451,12
"03.de 40 a 49 anios",2017,"diabetes","spearman",0.362685049830059,0.246594634429128,12
"03.de 40 a 49 anios",2017,"alzheimer","pearson",NA,NA,12
"03.de 40 a 49 anios",2017,"alzheimer","spearman",NA,NA,12
"03.de 40 a 49 anios",2017,"metabolic","pearson",0.307671487310993,0.330623680172527,12
"03.de 40 a 49 anios",2017,"metabolic","spearman",0.0730628036493575,0.821470633216588,12
"03.de 40 a 49 anios",2017,"anemia","pearson",0.0271604339360546,0.933225568964942,12
"03.de 40 a 49 anios",2017,"anemia","spearman",0.122352829841467,0.704827028738562,12
"03.de 40 a 49 anios",2018,"covid","pearson",NA,NA,12
"03.de 40 a 49 anios",2018,"covid","spearman",NA,NA,12
"03.de 40 a 49 anios",2018,"resp","pearson",0.266234699585951,0.40291479433461,12
"03.de 40 a 49 anios",2018,"resp","spearman",0.293706293706294,0.354332534211376,12
"03.de 40 a 49 anios",2018,"circ","pearson",-0.0862716765687425,0.789783633313576,12
"03.de 40 a 49 anios",2018,"circ","spearman",-0.16112108771782,0.616898856154857,12
