"age","anio_def","cause","method","cor","p.value","n"
"02.de 20 a 39 anios",2023,"alzheimer","spearman",-0.818303400872805,0.00113953607448448,12
"02.de 20 a 39 anios",2024,"alzheimer","pearson",-0.311914919708088,0.323648672635332,12
"02.de 20 a 39 anios",2024,"alzheimer","spearman",-0.64306618579295,0.0240876414471236,12
"02.de 20 a 39 anios",2015,"metabolic","pearson",NA,NA,12
"02.de 20 a 39 anios",2015,"metabolic","spearman",NA,NA,12
"02.de 20 a 39 anios",2016,"metabolic","pearson",NA,NA,12
"02.de 20 a 39 anios",2016,"metabolic","spearman",NA,NA,12
"02.de 20 a 39 anios",2017,"metabolic","pearson",NA,NA,12
"02.de 20 a 39 anios",2017,"metabolic","spearman",NA,NA,12
"02.de 20 a 39 anios",2018,"metabolic","pearson",NA,NA,12
"02.de 20 a 39 anios",2018,"metabolic","spearman",NA,NA,12
"02.de 20 a 39 anios",2019,"metabolic","pearson",NA,NA,12
"02.de 20 a 39 anios",2019,"metabolic","spearman",NA,NA,12
"02.de 20 a 39 anios",2020,"metabolic","pearson",-0.28846494673976,0.363199481509173,12
"02.de 20 a 39 anios",2020,"metabolic","spearman",-0.273205322651955,0.390233673923637,12
"02.de 20 a 39 anios",2021,"metabolic","pearson",0.514954428685818,0.0866698745686842,12
"02.de 20 a 39 anios",2021,"metabolic","spearman",0.433566433566434,0.161446426349823,12
"02.de 20 a 39 anios",2022,"metabolic","pearson",0.0522036799388991,0.871995675646937,12
"02.de 20 a 39 anios",2022,"metabolic","spearman",0.18213688176797,0.571015781266849,12
"02.de 20 a 39 anios",2023,"metabolic","pearson",-0.225301272398753,0.481400153061406,12
"02.de 20 a 39 anios",2023,"metabolic","spearman",-0.0438376821896145,0.892394154348614,12
"02.de 20 a 39 anios",2024,"metabolic","pearson",0.230940329030083,0.470193769510285,12
"02.de 20 a 39 anios",2024,"metabolic","spearman",0.0355285185520967,0.912713522809934,12
"02.de 20 a 39 anios",2015,"anemia","pearson",NA,NA,12
"02.de 20 a 39 anios",2015,"anemia","spearman",NA,NA,12
"02.de 20 a 39 anios",2016,"anemia","pearson",NA,NA,12
"02.de 20 a 39 anios",2016,"anemia","spearman",NA,NA,12
"02.de 20 a 39 anios",2017,"anemia","pearson",NA,NA,12
